feature,importance
symbol_SLC25A3,0.0
symbol_SLC2A2,0.0
symbol_SLC37A2,0.0
symbol_SLC38A3,0.0
symbol_SLC38A4,0.0
symbol_LGALS4,0.0
symbol_KDELR2,0.0
symbol_LGALS1,0.0
symbol_CFDP1,0.0
symbol_CDC42BPB,0.0
symbol_CDH2,0.0
symbol_CDH23,0.0
symbol_CDH5,0.0
symbol_CDKN1A,0.0
symbol_CDS2,0.0
symbol_CEBPA,0.0
symbol_CEBPB,0.0
symbol_CEP290,0.0
symbol_CEP78,0.0
symbol_CETP,0.0
symbol_CFAP44,0.0
symbol_CFD,0.0
symbol_CFH,0.0
symbol_C4B,0.0
symbol_CFHR4,0.0
symbol_CFL1,0.0
symbol_CFP,0.0
symbol_CGNL1,0.0
symbol_CHD9,0.0
symbol_CHI3L1,0.0
symbol_CIB1,0.0
symbol_CIDEB,0.0
symbol_CIRSR,0.0
symbol_CITED2,0.0
symbol_CKM,0.0
symbol_CLDN7,0.0
symbol_CLEC1B,0.0
symbol_CD74,0.0
symbol_CD63,0.0
symbol_CD5L,0.0
symbol_CD59,0.0
symbol_C4BPB,0.0
symbol_C5,0.0
symbol_C6,0.0
symbol_C8A,0.0
symbol_C8B,0.0
symbol_C9,0.0
symbol_C9orf78,0.0
symbol_CA12,0.0
symbol_CALM1,0.0
symbol_CANX,0.0
symbol_CAPG,0.0
symbol_CAPN5,0.0
symbol_CASP8AP2,0.0
symbol_CAT,0.0
symbol_CCAR1,0.0
symbol_CCDC112,0.0
symbol_CCDC18,0.0
symbol_CCDC88A,0.0
symbol_CCDC91,0.0
symbol_CCNL1,0.0
symbol_CCR1,0.0
symbol_CCT4,0.0
symbol_CD151,0.0
symbol_CD163,0.0
symbol_CD209,0.0
symbol_CD24,0.0
symbol_CD4,0.0
symbol_CLEC4G,0.0
symbol_CLEC4M,0.0
symbol_CLUH,0.0
symbol_CXCL10,0.0
symbol_CXCL16,0.0
symbol_CXCL9,0.0
symbol_CYB5A,0.0
symbol_CYBB,0.0
symbol_CYCS,0.0
symbol_CYFIP2,0.0
symbol_CYP1A1,0.0
symbol_CYP1A2,0.0
symbol_CYP2A6,0.0
symbol_CYP2B6,0.0
symbol_CYP2C19,0.0
symbol_CYP2C8,0.0
symbol_CYP2C9,0.0
symbol_CYP2E1,0.0
symbol_CYP3A5,0.0
symbol_CYP4A11,0.0
symbol_CYP4A22,0.0
symbol_CYP4F11,0.0
symbol_CYP4F2,0.0
symbol_CYP7A1,0.0
symbol_CYP8B1,0.0
symbol_DAG1,0.0
symbol_DBI,0.0
symbol_DCAF11,0.0
symbol_DCHS1,0.0
symbol_DCP1A,0.0
symbol_DDRGK1,0.0
symbol_CXCL12,0.0
symbol_CWF19L2,0.0
symbol_CNOT1,0.0
symbol_CUX2,0.0
symbol_COBLL1,0.0
symbol_COL1A1,0.0
symbol_COL1A2,0.0
symbol_COL3A1,0.0
symbol_COL5A3,0.0
symbol_COX4I1,0.0
symbol_COX6A1,0.0
symbol_COX6B1,0.0
symbol_COX6C,0.0
symbol_COX7B,0.0
symbol_COX7C,0.0
symbol_CP,0.0
symbol_CPAMD8,0.0
symbol_CPN2,0.0
symbol_CPS1,0.0
symbol_CPVL,0.0
symbol_CR1,0.0
symbol_CREG1,0.0
symbol_CRHBP,0.0
symbol_CSDE1,0.0
symbol_CSF1R,0.0
symbol_CSPP1,0.0
symbol_CSTB,0.0
symbol_CTDSP2,0.0
symbol_CTNND1,0.0
symbol_CTSB,0.0
symbol_CTSD,0.0
symbol_C4BPA,0.0
symbol_C4A,0.0
symbol_LEPR,0.0
symbol_AKR1A1,0.0
symbol_ADH1C,0.0
symbol_ADH6,0.0
symbol_ADIRF,0.0
symbol_AEBP1,0.0
symbol_AFAP1L1,0.0
symbol_AFF1,0.0
symbol_AGMAT,0.0
symbol_AGPAT3,0.0
symbol_AHCY,0.0
symbol_AHI1,0.0
symbol_AJUBA,0.0
symbol_AKAP12,0.0
symbol_AKAP9,0.0
symbol_AKR1C1,0.0
symbol_C3,0.0
symbol_AKR1C3,0.0
symbol_ALDH1B1,0.0
symbol_ALDH3A1,0.0
symbol_ALDH4A1,0.0
symbol_ALDH5A1,0.0
symbol_ALDH6A1,0.0
symbol_ALDH7A1,0.0
symbol_ALDOB,0.0
symbol_ALDOC,0.0
symbol_ALKBH5,0.0
symbol_AMDHD1,0.0
symbol_AMOTL1,0.0
symbol_ANKHD1,0.0
symbol_ADH1B,0.0
symbol_ADH1A,0.0
symbol_ADGRE1,0.0
symbol_ADA2,0.0
risk_contradictory_lit,0.0
context_id_CTX_001,0.0
disease_id_DIS_001,0.0
label_source_auto_gse126848_v1,0.0
symbol_AASS,0.0
symbol_ABAT,0.0
symbol_ABCA1,0.0
symbol_ABCA6,0.0
symbol_ABCB11,0.0
symbol_ABCB4,0.0
symbol_ABCC2,0.0
symbol_ABCC9,0.0
symbol_ABCG1,0.0
symbol_ACACB,0.0
symbol_ACADSB,0.0
symbol_ACAT1,0.0
symbol_ACAT2,0.0
symbol_ACO1,0.0
symbol_ACOX2,0.0
symbol_ACSL4,0.0
symbol_ACSM2A,0.0
symbol_ACSM2B,0.0
symbol_ACSM5,0.0
symbol_ACTA1,0.0
symbol_ACTB,0.0
symbol_ACVRL1,0.0
symbol_ACY1,0.0
symbol_ANKRD11,0.0
symbol_ANKRD36B,0.0
symbol_ANP32B,0.0
symbol_ATP5ME,0.0
symbol_ATP5MK,0.0
symbol_ATP5PB,0.0
symbol_ATP6V0B,0.0
symbol_ATRN,0.0
symbol_AURKAIP1,0.0
symbol_AVIL,0.0
symbol_AXL,0.0
symbol_B2M,0.0
symbol_B3GAT1,0.0
symbol_BASP1,0.0
symbol_BAZ1A,0.0
symbol_BAZ2B,0.0
symbol_BBLN,0.0
symbol_BBX,0.0
symbol_BCAP31,0.0
symbol_BHMT,0.0
symbol_BIRC3,0.0
symbol_BOD1L1,0.0
symbol_BORCS7,0.0
symbol_BRD10,0.0
symbol_BST2,0.0
symbol_BTG1,0.0
symbol_C1QA,0.0
symbol_C1QB,0.0
symbol_C1QC,0.0
symbol_C1RL,0.0
symbol_C1S,0.0
symbol_ATP5MG,0.0
symbol_ATP5MC2,0.0
symbol_ANPEP,0.0
symbol_ATP5F1E,0.0
symbol_ANXA2,0.0
symbol_AOAH,0.0
symbol_AOX1,0.0
symbol_APLP2,0.0
symbol_APOA1,0.0
symbol_APOA2,0.0
symbol_APOB,0.0
symbol_APOC3,0.0
symbol_APOF,0.0
symbol_APOH,0.0
symbol_APOL1,0.0
symbol_APOL3,0.0
symbol_APP,0.0
symbol_ARF4,0.0
symbol_ARHGAP35,0.0
symbol_ARHGEF12,0.0
symbol_ARID4A,0.0
symbol_ARID4B,0.0
symbol_ARNT,0.0
symbol_ARSD,0.0
symbol_ASGR2,0.0
symbol_ASS1,0.0
symbol_ATAD3B,0.0
symbol_ATF5,0.0
symbol_ATP13A3,0.0
symbol_ATP1A1,0.0
symbol_ATP5F1B,0.0
symbol_DDX21,0.0
symbol_DDX3Y,0.0
symbol_DDX46,0.0
symbol_HMOX1,0.0
symbol_HDGF,0.0
symbol_HDHD3,0.0
symbol_HDLBP,0.0
symbol_HECTD1,0.0
symbol_HINT1,0.0
symbol_HIPK2,0.0
symbol_HKDC1,0.0
symbol_HLA-DPA1,0.0
symbol_HLA-E,0.0
symbol_HMGCL,0.0
symbol_HMGCS1,0.0
symbol_HMGCS2,0.0
symbol_HMGN5,0.0
symbol_HNRNPK,0.0
symbol_DDX55,0.0
symbol_HOGA1,0.0
