ensembl_id,symbol,log2fc,pvalue,mean_dis,mean_hlt,padj,direction
ENSG00000159733,ZFYVE28,0.35382470106047714,0.004550003979841501,1.7784017128000094,1.4245770117395322,0.01649617637704528,up
ENSG00000159761,C16orf86,0.5499786861763716,0.0041039157698999984,0.9001328986128381,0.35015421243646655,0.015234843143352694,up
ENSG00000159788,RGS12,1.0338332911258434,0.0006465214047620356,3.681524840032459,2.6476915489066157,0.003796927551163129,up
ENSG00000159792,PSKH1,1.2601374052148864,8.707650628938832e-06,4.030456471387847,2.7703190661729606,0.000179529298216472,up
ENSG00000159840,ZYX,1.1394340013675328,0.00039407367278480865,3.8370645827576437,2.697630581390111,0.0026514526990595376,up
ENSG00000159842,ABR,0.6101386153708599,0.0014725898996044626,2.569940928324238,1.959802312953378,0.007077020558388185,up
ENSG00000159873,CCDC117,0.982830374768365,4.829453759166095e-06,1.0810438539057114,0.0982134791373465,0.00012244284090801973,up
ENSG00000159905,ZNF221,0.36975368983320667,0.00010229526131815156,-0.2845623930903082,-0.6543160829235148,0.0010141812554387796,up
ENSG00000160007,ARHGAP35,0.9573506317033509,8.16321757569424e-06,5.945667043877433,4.988316412174082,0.00017211020749312143,up
ENSG00000160014,CALM3,0.7598410287608628,0.00022358437417919428,6.338254968570355,5.578413939809492,0.001756264450227137,up
ENSG00000160049,DFFA,0.2754781405591089,0.0012251537113020699,3.66538801067722,3.389909870118111,0.006155609001180868,up
ENSG00000160050,CCDC28B,0.339787819598769,0.0037748406755317176,0.03653588469431489,-0.3032519349044541,0.014304148126839517,up
ENSG00000160058,BSDC1,0.4301156978062828,0.001012419292147551,5.807107082284203,5.37699138447792,0.005319376963923153,up
ENSG00000160062,ZBTB8A,-0.49791406333126875,0.0038688905731121916,0.3297374132272217,0.8276514765584905,0.014567925860548768,down
ENSG00000160072,ATAD3B,0.5828052262602896,0.0082735270165105,2.174913043929329,1.5921078176690395,0.02590364538301399,up
ENSG00000160087,UBE2J2,0.3134895314133357,0.004051010145717007,3.2898926580117163,2.9764031265983806,0.015100202705380046,up
ENSG00000160097,FNDC5,1.6493520347559905,0.0001539125704263659,5.541115372569892,3.8917633378139014,0.00135068138683344,up
ENSG00000160131,VMA21,-0.5647606752223138,0.002283198493007103,3.2043934479660923,3.769154123188406,0.009816888262330162,down
ENSG00000160190,SLC37A1,0.5192299770997189,0.0006352636679683419,1.3193582778918203,0.8001283007921014,0.0037498497583704016,up
ENSG00000160193,WDR4,0.46097618485921843,7.504356061796185e-06,1.1818699853110712,0.7208938004518528,0.00016395833354142234,up
ENSG00000160208,RRP1B,0.37720910019458564,0.0018995757454067824,3.6538985385860387,3.276689438391453,0.008558699058418795,up
ENSG00000160209,PDXK,0.9664563842866949,2.926938211431947e-06,5.580881469420701,4.614425085134006,8.840717030303517e-05,up
ENSG00000160211,G6PD,0.7144493766710034,0.00023734173128532588,1.392306232091429,0.6778568554204256,0.0018341696245306601,up
ENSG00000160214,RRP1,0.8452545856746139,2.218303844824972e-05,2.7208676746118297,1.8756130889372158,0.00034010869674922054,up
ENSG00000160216,AGPAT3,0.8257789953373553,4.490352844143571e-06,6.372713724859872,5.546934729522516,0.00011675432399675387,up
ENSG00000160218,TRAPPC10,1.1067415272142593,9.072384805883121e-07,3.254596332912044,2.1478548056977846,3.958918302432604e-05,up
ENSG00000160226,CFAP410,0.8134337263757363,0.00020723727322204377,2.060501624083573,1.2470678977078369,0.001653616800351543,up
ENSG00000160233,LRRC3,0.9539080848934729,4.653221815809057e-05,5.079450365002162,4.125542280108689,0.0005813484901746856,up
ENSG00000160255,ITGB2,0.6336234679437216,0.006098035060155773,3.962904052128786,3.3292805841850646,0.020545217232184065,up
ENSG00000160256,SLX9,0.8798752670017753,8.474202466672504e-06,1.886842745786619,1.0069674787848437,0.00017621099355957155,up
ENSG00000160271,RALGDS,0.4578282046888198,0.011824928668679818,2.7450791631901543,2.2872509585013345,0.034072687321038846,up
ENSG00000160284,SPATC1L,0.1557677407465613,0.017711736382699884,-0.7155034158437895,-0.8712711565903508,0.046624296774238835,up
ENSG00000160285,LSS,1.6436721230732347,1.060793273043986e-06,7.03045600299146,5.386783879918225,4.366571493325958e-05,up
ENSG00000160293,VAV2,0.8055166911895251,5.627064188072377e-07,5.576695670446073,4.771178979256548,2.8096878416452986e-05,up
ENSG00000160298,C21orf58,0.36554243274095505,0.007565384921857794,-0.00906196565242773,-0.3746043983933828,0.02421618427833109,up
ENSG00000160299,PCNT,0.5087029939526961,0.0012844757825922978,3.235793126820087,2.727090132867391,0.006369049134498219,up
ENSG00000160310,PRMT2,0.4092087167250318,0.005291819623892252,3.8315654195595896,3.422356702834558,0.018480646716528673,up
ENSG00000160325,CACFD1,1.0725026634963406,1.0271642305721995e-05,4.6585655098586285,3.586062846362288,0.0001990247055889981,up
ENSG00000160326,SLC2A6,0.47308244413452205,0.0032250702807388783,0.9008739519787626,0.4277915078442406,0.01269124231655167,up
ENSG00000160360,GPSM1,0.4427083208694576,0.0005035266989293244,0.04912714591984339,-0.3935811749496142,0.003171589231666907,up
