symbol,expr_mean,expr_std,expr_median,expr_max,expr_nonzero_fraction,expr_cv,expr_log1p_mean,expr_log1p_max
ENSG00000108947,49.59649122807018,26.43851333696113,48.0,102,1.0,0.5330722533451661,3.9238822305702894,4.634728988229636
ENSG00000108950,809.3684210526316,414.75481705542217,800.0,1739,1.0,0.512442549359671,6.697488985063479,7.461640392208575
ENSG00000108953,4122.9473684210525,2335.3716469383003,3363.0,9144,1.0,0.5664325634679803,8.324566082790875,9.120962560824966
ENSG00000108960,65.98245614035088,48.75649818524932,53.0,249,1.0,0.7389312407761796,4.204430736451143,5.521460917862246
ENSG00000108961,79.43859649122807,39.73709024138695,72.0,261,1.0,0.5002239716782368,4.387494116856015,5.568344503761097
ENSG00000108963,174.01754385964912,115.13074729380975,126.0,437,1.0,0.6616042540323778,5.1648862195253225,6.082218910376446
ENSG00000108984,78.50877192982456,50.73112696469268,70.0,233,1.0,0.646184187036309,4.375867354313347,5.455321115357702
ENSG00000109016,227.5438596491228,85.22827963254221,219.0,422,1.0,0.3745575897498,5.431728137863014,6.0473721790462776
ENSG00000109046,187.59649122807016,119.31229424873717,167.0,559,1.0,0.6360049352078948,5.239609765721259,6.327936783729195
ENSG00000109047,0.9473684210526315,1.2736484802047303,1.0,6,0.5614035087719298,1.3444067291049933,0.666478933477784,1.9459101490553132
ENSG00000109061,17.24561403508772,56.82469304227139,0.0,391,0.38596491228070173,3.295022892583387,2.903924724300868,5.971261839790462
ENSG00000109062,2991.5789473684213,1493.7709585782316,2669.0,7088,1.0,0.4993252676457846,8.00389081882797,8.866299565855018
ENSG00000109063,6.157894736842105,5.951558840470196,4.0,25,0.8771929824561403,0.9664924612729378,1.9682159065696117,3.258096538021482
ENSG00000109065,96.82456140350877,44.90948150248514,90.0,237,1.0,0.46382323711571904,4.58317568460581,5.472270673671475
ENSG00000109066,317.36842105263156,160.29767304911948,301.0,667,1.0,0.5050838785958989,5.763209268940474,6.504288173536645
ENSG00000109072,92529.9298245614,41314.641035014814,90115.0,208432,1.0,0.44650029577833034,11.435298244090905,12.247372925653632
ENSG00000109079,558.6315789473684,286.15621555235896,530.0,1249,1.0,0.5122449684845317,6.3272786724846455,7.1308988302963465
ENSG00000109083,213.0,79.46562599190743,206.0,444,1.0,0.3730780563000349,5.365976015021851,6.09807428216624
ENSG00000109084,2146.59649122807,1470.1314185625079,1966.0,9826,1.0,0.6848662170883565,7.6721045847363465,9.192888978362427
ENSG00000109089,30.666666666666668,25.127058077280907,23.0,120,0.9473684210526315,0.8193605894765513,3.455264602932431,4.795790545596741
ENSG00000109099,91.9298245614035,48.87734636279543,86.0,215,1.0,0.5316810577632327,4.5318446337099765,5.375278407684165
ENSG00000109101,0.12280701754385964,0.5025000155862296,0.0,3,0.07017543859649122,4.091785841202156,0.1158318155251217,1.3862943611198906
ENSG00000109103,120.64912280701755,54.4726311450039,115.0,262,1.0,0.45149628839104583,4.8011408584104185,5.572154032177765
ENSG00000109107,1406.842105263158,747.4711840951672,1362.0,4155,1.0,0.5313113542015779,7.249813389281374,8.332308352219117
ENSG00000109111,1395.017543859649,785.6906991219362,1160.0,2917,1.0,0.5632120560635641,7.241378850478056,7.978653729082731
